date,core_index,ann_monthly_chg
01/01/1967,34.2,
02/01/1967,34.2,0
03/01/1967,34.3,3.6
04/01/1967,34.4,3.6
05/01/1967,34.5,3.5
06/01/1967,34.6,3.5
07/01/1967,34.7,3.5
08/01/1967,34.9,7.1
09/01/1967,35,3.5
10/01/1967,35.1,3.5
11/01/1967,35.2,3.5
12/01/1967,35.4,7
01/01/1968,35.5,3.4
02/01/1968,35.7,7
03/01/1968,35.8,3.4
04/01/1968,35.9,3.4
05/01/1968,36,3.4
06/01/1968,36.2,6.9
07/01/1968,36.4,6.8
08/01/1968,36.5,3.3
09/01/1968,36.7,6.8
10/01/1968,36.9,6.7
11/01/1968,37.1,6.7
12/01/1968,37.2,3.3
01/01/1969,37.3,3.3
02/01/1969,37.6,10.1
03/01/1969,37.8,6.6
04/01/1969,38.1,10
05/01/1969,38.1,0
06/01/1969,38.3,6.5
07/01/1969,38.5,6.4
08/01/1969,38.7,6.4
09/01/1969,38.9,6.4
10/01/1969,39.1,6.3
11/01/1969,39.2,3.1
12/01/1969,39.4,6.3
01/01/1970,39.6,6.3
02/01/1970,39.8,6.2
03/01/1970,40.1,9.4
04/01/1970,40.4,9.4
05/01/1970,40.5,3
06/01/1970,40.8,9.3
07/01/1970,40.9,3
08/01/1970,41.1,6
09/01/1970,41.3,6
10/01/1970,41.5,6
11/01/1970,41.8,9
12/01/1970,42,5.9
01/01/1971,42.1,2.9
02/01/1971,42.2,2.9
03/01/1971,42.2,0
04/01/1971,42.4,5.8
05/01/1971,42.6,5.8
06/01/1971,42.8,5.8
07/01/1971,42.9,2.8
08/01/1971,43,2.8
09/01/1971,43,0
10/01/1971,43.1,2.8
11/01/1971,43.2,2.8
12/01/1971,43.3,2.8
01/01/1972,43.5,5.7
02/01/1972,43.6,2.8
03/01/1972,43.6,0
04/01/1972,43.8,5.6
05/01/1972,43.9,2.8
06/01/1972,44,2.8
07/01/1972,44.1,2.8
08/01/1972,44.3,5.6
09/01/1972,44.3,0
10/01/1972,44.4,2.7
11/01/1972,44.4,0
12/01/1972,44.6,5.5
01/01/1973,44.6,0
02/01/1973,44.8,5.5
03/01/1973,45,5.5
04/01/1973,45.1,2.7
05/01/1973,45.3,5.5
06/01/1973,45.4,2.7
07/01/1973,45.5,2.7
08/01/1973,45.7,5.4
09/01/1973,46,8.2
10/01/1973,46.3,8.1
11/01/1973,46.5,5.3
12/01/1973,46.7,5.3
01/01/1974,46.9,5.3
02/01/1974,47.2,8
03/01/1974,47.6,10.7
04/01/1974,47.9,7.8
05/01/1974,48.5,16.1
06/01/1974,49,13.1
07/01/1974,49.5,13
08/01/1974,50.2,18.4
09/01/1974,50.7,12.6
10/01/1974,51.2,12.5
11/01/1974,51.6,9.8
12/01/1974,52,9.7
01/01/1975,52.3,7.1
02/01/1975,52.8,12.1
03/01/1975,53,4.6
04/01/1975,53.3,7
05/01/1975,53.5,4.6
06/01/1975,53.8,6.9
07/01/1975,54,4.6
08/01/1975,54.2,4.5
09/01/1975,54.5,6.8
10/01/1975,54.8,6.8
11/01/1975,55.2,9.1
12/01/1975,55.5,6.7
01/01/1976,55.9,9
02/01/1976,56.2,6.6
03/01/1976,56.5,6.6
04/01/1976,56.7,4.3
05/01/1976,57,6.5
06/01/1976,57.2,4.3
07/01/1976,57.6,8.7
08/01/1976,57.9,6.4
09/01/1976,58.2,6.4
10/01/1976,58.5,6.4
11/01/1976,58.7,4.2
12/01/1976,58.9,4.2
01/01/1977,59.3,8.5
02/01/1977,59.7,8.4
03/01/1977,60,6.2
04/01/1977,60.3,6.2
05/01/1977,60.6,6.1
06/01/1977,61,8.2
07/01/1977,61.2,4
08/01/1977,61.5,6
09/01/1977,61.8,6
10/01/1977,62,4
11/01/1977,62.3,6
12/01/1977,62.7,8
01/01/1978,63.1,7.9
02/01/1978,63.4,5.9
03/01/1978,63.8,7.8
04/01/1978,64.3,9.8
05/01/1978,64.7,7.7
06/01/1978,65.2,9.7
07/01/1978,65.6,7.6
08/01/1978,66.1,9.5
09/01/1978,66.7,11.5
10/01/1978,67.2,9.4
11/01/1978,67.6,7.4
12/01/1978,68,7.3
01/01/1979,68.5,9.2
02/01/1979,69.2,13
03/01/1979,69.8,10.9
04/01/1979,70.3,8.9
05/01/1979,70.8,8.9
06/01/1979,71.3,8.8
07/01/1979,71.9,10.6
08/01/1979,72.7,14.2
09/01/1979,73.3,10.4
10/01/1979,74,12.1
11/01/1979,74.8,13.8
12/01/1979,75.7,15.4
01/01/1980,76.7,17.1
02/01/1980,77.5,13.3
03/01/1980,78.6,18.4
04/01/1980,79.5,14.6
05/01/1980,80.1,9.4
06/01/1980,81,14.3
07/01/1980,80.8,-2.9
08/01/1980,81.3,7.7
09/01/1980,82.1,12.5
10/01/1980,83,14
11/01/1980,83.9,13.8
12/01/1980,84.9,15.3
01/01/1981,85.4,7.3
02/01/1981,85.9,7.3
03/01/1981,86.4,7.2
04/01/1981,87,8.7
05/01/1981,87.8,11.6
06/01/1981,88.6,11.5
07/01/1981,89.8,17.5
08/01/1981,90.7,12.7
09/01/1981,91.8,15.6
10/01/1981,92.1,4
11/01/1981,92.5,5.3
12/01/1981,93,6.7
01/01/1982,93.3,3.9
02/01/1982,93.8,6.6
03/01/1982,93.9,1.3
04/01/1982,94.7,10.7
05/01/1982,95.4,9.2
06/01/1982,96.1,9.2
07/01/1982,96.7,7.8
08/01/1982,97.1,5.1
09/01/1982,97.2,1.2
10/01/1982,97.5,3.8
11/01/1982,97.3,-2.4
12/01/1982,97.2,-1.2
01/01/1983,97.6,5.1
02/01/1983,98,5
03/01/1983,98.2,2.5
04/01/1983,98.6,5
05/01/1983,98.9,3.7
06/01/1983,99.2,3.7
07/01/1983,99.8,7.5
08/01/1983,100.1,3.7
09/01/1983,100.5,4.9
10/01/1983,101,6.1
11/01/1983,101.5,6.1
12/01/1983,101.8,3.6
01/01/1984,102.5,8.6
02/01/1984,102.8,3.6
03/01/1984,103.2,4.8
04/01/1984,103.7,6
05/01/1984,104.1,4.7
06/01/1984,104.5,4.7
07/01/1984,105,5.9
08/01/1984,105.4,4.7
09/01/1984,105.8,4.7
10/01/1984,106.2,4.6
11/01/1984,106.4,2.3
12/01/1984,106.8,4.6
01/01/1985,107.1,3.4
02/01/1985,107.7,6.9
03/01/1985,108.1,4.5
04/01/1985,108.4,3.4
05/01/1985,108.8,4.5
06/01/1985,109.1,3.4
07/01/1985,109.4,3.4
08/01/1985,109.8,4.5
09/01/1985,110,2.2
10/01/1985,110.5,5.6
11/01/1985,111.1,6.7
12/01/1985,111.4,3.3
01/01/1986,111.9,5.5
02/01/1986,112.2,3.3
03/01/1986,112.5,3.3
04/01/1986,112.9,4.4
05/01/1986,113.1,2.1
06/01/1986,113.4,3.2
07/01/1986,113.8,4.3
08/01/1986,114.2,4.3
09/01/1986,114.6,4.3
10/01/1986,115,4.3
11/01/1986,115.3,3.2
12/01/1986,115.6,3.2
01/01/1987,115.9,3.2
02/01/1987,116.2,3.2
03/01/1987,116.6,4.2
04/01/1987,117.3,7.4
05/01/1987,117.7,4.2
06/01/1987,117.9,2.1
07/01/1987,118.3,4.1
08/01/1987,118.7,4.1
09/01/1987,119.2,5.2
10/01/1987,119.8,6.2
11/01/1987,120.1,3
12/01/1987,120.4,3
01/01/1988,120.9,5.1
02/01/1988,121.2,3
03/01/1988,121.7,5.1
04/01/1988,122.3,6.1
05/01/1988,122.7,4
06/01/1988,123.2,5
07/01/1988,123.6,4
08/01/1988,124,4
09/01/1988,124.7,7
10/01/1988,125.2,4.9
11/01/1988,125.6,3.9
12/01/1988,126,3.9
01/01/1989,126.5,4.9
02/01/1989,126.9,3.9
03/01/1989,127.4,4.8
04/01/1989,127.8,3.8
05/01/1989,128.3,4.8
06/01/1989,128.8,4.8
07/01/1989,129.2,3.8
08/01/1989,129.5,2.8
09/01/1989,129.9,3.8
10/01/1989,130.6,6.7
11/01/1989,131.1,4.7
12/01/1989,131.6,4.7
01/01/1990,132.1,4.7
02/01/1990,132.7,5.6
03/01/1990,133.5,7.5
04/01/1990,134,4.6
05/01/1990,134.4,3.6
06/01/1990,135.1,6.4
07/01/1990,135.8,6.4
08/01/1990,136.6,7.3
09/01/1990,137.1,4.5
10/01/1990,137.6,4.5
11/01/1990,138,3.5
12/01/1990,138.6,5.3
01/01/1991,139.5,8.1
02/01/1991,140.2,6.2
03/01/1991,140.5,2.6
04/01/1991,140.9,3.5
05/01/1991,141.3,3.5
06/01/1991,141.8,4.3
07/01/1991,142.3,4.3
08/01/1991,142.9,5.2
09/01/1991,143.4,4.3
10/01/1991,143.7,2.5
11/01/1991,144.2,4.3
12/01/1991,144.7,4.2
01/01/1992,145.1,3.4
02/01/1992,145.4,2.5
03/01/1992,145.9,4.2
04/01/1992,146.3,3.3
05/01/1992,146.8,4.2
06/01/1992,147.1,2.5
07/01/1992,147.6,4.2
08/01/1992,147.9,2.5
09/01/1992,148.1,1.6
10/01/1992,148.8,5.8
11/01/1992,149.2,3.3
12/01/1992,149.6,3.3
01/01/1993,150.1,4.1
02/01/1993,150.6,4.1
03/01/1993,150.8,1.6
04/01/1993,151.4,4.9
05/01/1993,151.8,3.2
06/01/1993,152.1,2.4
07/01/1993,152.3,1.6
08/01/1993,152.8,4
09/01/1993,152.9,0.8
10/01/1993,153.4,4
11/01/1993,153.9,4
12/01/1993,154.3,3.2
01/01/1994,154.5,1.6
02/01/1994,154.8,2.4
03/01/1994,155.3,3.9
04/01/1994,155.5,1.6
05/01/1994,155.9,3.1
06/01/1994,156.4,3.9
07/01/1994,156.7,2.3
08/01/1994,157.1,3.1
09/01/1994,157.5,3.1
10/01/1994,157.8,2.3
11/01/1994,158.2,3.1
12/01/1994,158.3,0.8
01/01/1995,159,5.4
02/01/1995,159.4,3.1
03/01/1995,159.9,3.8
04/01/1995,160.4,3.8
05/01/1995,160.7,2.3
06/01/1995,161.1,3
07/01/1995,161.4,2.3
08/01/1995,161.8,3
09/01/1995,162.2,3
10/01/1995,162.7,3.8
11/01/1995,163,2.2
12/01/1995,163.1,0.7
01/01/1996,163.7,4.5
02/01/1996,164,2.2
03/01/1996,164.4,3
04/01/1996,164.6,1.5
05/01/1996,165,3
06/01/1996,165.4,2.9
07/01/1996,165.7,2.2
08/01/1996,166,2.2
09/01/1996,166.5,3.7
10/01/1996,166.8,2.2
11/01/1996,167.2,2.9
12/01/1996,167.4,1.4
01/01/1997,167.8,2.9
02/01/1997,168.1,2.2
03/01/1997,168.4,2.2
04/01/1997,168.9,3.6
05/01/1997,169.2,2.2
06/01/1997,169.4,1.4
07/01/1997,169.7,2.1
08/01/1997,169.8,0.7
09/01/1997,170.2,2.9
10/01/1997,170.6,2.9
11/01/1997,170.8,1.4
12/01/1997,171.2,2.8
01/01/1998,171.6,2.8
02/01/1998,171.9,2.1
03/01/1998,172.2,2.1
