date,cpi_index,ann_monthly_chg
01/01/1967,32.9,
02/01/1967,33,3.7
03/01/1967,33,0
04/01/1967,33.1,3.7
05/01/1967,33.1,0
06/01/1967,33.3,7.5
07/01/1967,33.4,3.7
08/01/1967,33.5,3.7
09/01/1967,33.6,3.6
10/01/1967,33.7,3.6
11/01/1967,33.9,7.4
12/01/1967,34,3.6
01/01/1968,34.1,3.6
02/01/1968,34.2,3.6
03/01/1968,34.3,3.6
04/01/1968,34.4,3.6
05/01/1968,34.5,3.5
06/01/1968,34.7,7.2
07/01/1968,34.9,7.1
08/01/1968,35,3.5
09/01/1968,35.1,3.5
10/01/1968,35.3,7.1
11/01/1968,35.4,3.5
12/01/1968,35.6,7
01/01/1969,35.7,3.4
02/01/1969,35.8,3.4
03/01/1969,36.1,10.5
04/01/1969,36.3,6.9
05/01/1969,36.4,3.4
06/01/1969,36.6,6.8
07/01/1969,36.8,6.8
08/01/1969,36.9,3.3
09/01/1969,37.1,6.7
10/01/1969,37.3,6.7
11/01/1969,37.5,6.6
12/01/1969,37.7,6.6
01/01/1970,37.9,6.6
02/01/1970,38.1,6.5
03/01/1970,38.3,6.5
04/01/1970,38.5,6.4
05/01/1970,38.6,3.2
06/01/1970,38.8,6.4
07/01/1970,38.9,3.1
08/01/1970,39,3.1
09/01/1970,39.2,6.3
10/01/1970,39.4,6.3
11/01/1970,39.6,6.3
12/01/1970,39.8,6.2
01/01/1971,39.9,3.1
02/01/1971,39.9,0
03/01/1971,40,3
04/01/1971,40.1,3
05/01/1971,40.3,6.2
06/01/1971,40.5,6.1
07/01/1971,40.6,3
08/01/1971,40.7,3
09/01/1971,40.8,3
10/01/1971,40.9,3
11/01/1971,41,3
12/01/1971,41.1,3
01/01/1972,41.2,3
02/01/1972,41.4,6
03/01/1972,41.4,0
04/01/1972,41.5,2.9
05/01/1972,41.6,2.9
06/01/1972,41.7,2.9
07/01/1972,41.8,2.9
08/01/1972,41.9,2.9
09/01/1972,42.1,5.9
10/01/1972,42.2,2.9
11/01/1972,42.4,5.8
12/01/1972,42.5,2.9
01/01/1973,42.7,5.8
02/01/1973,43,8.8
03/01/1973,43.4,11.8
04/01/1973,43.7,8.6
05/01/1973,43.9,5.6
06/01/1973,44.2,8.5
07/01/1973,44.2,0
08/01/1973,45,24
09/01/1973,45.2,5.5
10/01/1973,45.6,11.2
11/01/1973,45.9,8.2
12/01/1973,46.3,11
01/01/1974,46.8,13.8
02/01/1974,47.3,13.6
03/01/1974,47.8,13.4
04/01/1974,48.1,7.8
05/01/1974,48.6,13.2
06/01/1974,49,10.3
07/01/1974,49.3,7.6
08/01/1974,49.9,15.6
09/01/1974,50.6,18.2
10/01/1974,51,9.9
11/01/1974,51.5,12.4
12/01/1974,51.9,9.7
01/01/1975,52.3,9.7
02/01/1975,52.6,7.1
03/01/1975,52.8,4.7
04/01/1975,53,4.6
05/01/1975,53.1,2.3
06/01/1975,53.5,9.4
07/01/1975,54,11.8
08/01/1975,54.2,4.5
09/01/1975,54.6,9.2
10/01/1975,54.9,6.8
11/01/1975,55.3,9.1
12/01/1975,55.6,6.7
01/01/1976,55.8,4.4
02/01/1976,55.9,2.2
03/01/1976,56,2.2
04/01/1976,56.1,2.2
05/01/1976,56.4,6.6
06/01/1976,56.7,6.6
07/01/1976,57,6.5
08/01/1976,57.3,6.5
09/01/1976,57.6,6.5
10/01/1976,57.9,6.4
11/01/1976,58.1,4.2
12/01/1976,58.4,6.4
01/01/1977,58.7,6.3
02/01/1977,59.3,13
03/01/1977,59.6,6.2
04/01/1977,60,8.4
05/01/1977,60.2,4.1
06/01/1977,60.5,6.1
07/01/1977,60.8,6.1
08/01/1977,61.1,6.1
09/01/1977,61.3,4
10/01/1977,61.6,6
11/01/1977,62,8.1
12/01/1977,62.3,6
01/01/1978,62.7,8
02/01/1978,63,5.9
03/01/1978,63.4,7.9
04/01/1978,63.9,9.9
05/01/1978,64.5,11.9
06/01/1978,65,9.7
07/01/1978,65.5,9.6
08/01/1978,65.9,7.6
09/01/1978,66.5,11.5
10/01/1978,67.1,11.4
11/01/1978,67.5,7.4
12/01/1978,67.9,7.3
01/01/1979,68.5,11.1
02/01/1979,69.2,13
03/01/1979,69.9,12.8
04/01/1979,70.6,12.7
05/01/1979,71.4,14.5
06/01/1979,72.2,14.3
07/01/1979,73,14.1
08/01/1979,73.7,12.1
09/01/1979,74.4,12
10/01/1979,75.2,13.7
11/01/1979,76,13.5
12/01/1979,76.9,15.2
01/01/1980,78,18.6
02/01/1980,79,16.5
03/01/1980,80.1,18
04/01/1980,80.9,12.7
05/01/1980,81.7,12.5
06/01/1980,82.5,12.4
07/01/1980,82.6,1.5
08/01/1980,83.2,9.1
09/01/1980,83.9,10.6
10/01/1980,84.7,12.1
11/01/1980,85.6,13.5
12/01/1980,86.4,11.8
01/01/1981,87.2,11.7
02/01/1981,88,11.6
03/01/1981,88.6,8.5
04/01/1981,89.1,7
05/01/1981,89.7,8.4
06/01/1981,90.5,11.2
07/01/1981,91.5,14.1
08/01/1981,92.2,9.6
09/01/1981,93.1,12.4
10/01/1981,93.4,3.9
11/01/1981,93.8,5.3
12/01/1981,94.1,3.9
01/01/1982,94.4,3.9
02/01/1982,94.7,3.9
03/01/1982,94.7,0
04/01/1982,95,3.9
05/01/1982,95.9,12
06/01/1982,97,14.7
07/01/1982,97.5,6.4
08/01/1982,97.7,2.5
09/01/1982,97.7,0
10/01/1982,98.1,5
11/01/1982,98,-1.2
12/01/1982,97.7,-3.6
01/01/1983,97.9,2.5
02/01/1983,98,1.2
03/01/1983,98.1,1.2
04/01/1983,98.8,8.9
05/01/1983,99.2,5
06/01/1983,99.4,2.4
07/01/1983,99.8,4.9
08/01/1983,100.1,3.7
09/01/1983,100.4,3.7
10/01/1983,100.8,4.9
11/01/1983,101.1,3.6
12/01/1983,101.4,3.6
01/01/1984,102.1,8.6
02/01/1984,102.6,6
03/01/1984,102.9,3.6
04/01/1984,103.3,4.8
05/01/1984,103.5,2.3
06/01/1984,103.7,2.3
07/01/1984,104.1,4.7
08/01/1984,104.4,3.5
09/01/1984,104.7,3.5
10/01/1984,105.1,4.7
11/01/1984,105.3,2.3
12/01/1984,105.5,2.3
01/01/1985,105.7,2.3
02/01/1985,106.3,7
03/01/1985,106.8,5.8
04/01/1985,107,2.3
05/01/1985,107.2,2.3
06/01/1985,107.5,3.4
07/01/1985,107.7,2.3
08/01/1985,107.9,2.3
09/01/1985,108.1,2.2
10/01/1985,108.5,4.5
11/01/1985,109,5.7
12/01/1985,109.5,5.6
01/01/1986,109.9,4.5
02/01/1986,109.7,-2.2
03/01/1986,109.1,-6.4
04/01/1986,108.7,-4.3
05/01/1986,109,3.4
06/01/1986,109.4,4.5
07/01/1986,109.5,1.1
08/01/1986,109.6,1.1
09/01/1986,110,4.5
10/01/1986,110.2,2.2
11/01/1986,110.4,2.2
12/01/1986,110.8,4.4
01/01/1987,111.4,6.7
02/01/1987,111.8,4.4
03/01/1987,112.2,4.4
04/01/1987,112.7,5.5
05/01/1987,113,3.2
06/01/1987,113.5,5.4
07/01/1987,113.8,3.2
08/01/1987,114.3,5.4
09/01/1987,114.7,4.3
10/01/1987,115,3.2
11/01/1987,115.4,4.3
12/01/1987,115.6,2.1
01/01/1988,116,4.2
02/01/1988,116.2,2.1
03/01/1988,116.5,3.1
04/01/1988,117.2,7.5
05/01/1988,117.5,3.1
06/01/1988,118,5.2
07/01/1988,118.5,5.2
08/01/1988,119,5.2
09/01/1988,119.5,5.2
10/01/1988,119.9,4.1
11/01/1988,120.3,4.1
12/01/1988,120.7,4.1
01/01/1989,121.2,5.1
02/01/1989,121.6,4
03/01/1989,122.2,6.1
04/01/1989,123.1,9.2
05/01/1989,123.7,6
06/01/1989,124.1,4
07/01/1989,124.5,3.9
08/01/1989,124.5,0
09/01/1989,124.8,2.9
10/01/1989,125.4,5.9
11/01/1989,125.9,4.9
12/01/1989,126.3,3.9
01/01/1990,127.5,12
02/01/1990,128,4.8
03/01/1990,128.6,5.8
04/01/1990,128.9,2.8
05/01/1990,129.1,1.9
06/01/1990,129.9,7.7
07/01/1990,130.5,5.7
08/01/1990,131.6,10.6
09/01/1990,132.5,8.5
10/01/1990,133.4,8.5
11/01/1990,133.7,2.7
12/01/1990,134.2,4.6
01/01/1991,134.7,4.6
02/01/1991,134.8,0.9
03/01/1991,134.8,0
04/01/1991,135.1,2.7
05/01/1991,135.6,4.5
06/01/1991,136,3.6
07/01/1991,136.2,1.8
08/01/1991,136.6,3.6
09/01/1991,137,3.6
10/01/1991,137.2,1.8
11/01/1991,137.8,5.4
12/01/1991,138.2,3.5
01/01/1992,138.3,0.9
02/01/1992,138.6,2.6
03/01/1992,139.1,4.4
