Component,Monthly Percent Change,Relative Importance,Cumulative Relative Importance
Tax preparation and other related services,-4.64,0.23,0.23
Photographic equipment,-3.53,0.04,0.28
Audio equipment,-3.12,0.24,0.51
"Games, toys, and hobbies",-2.94,0.59,1.1
Newspapers and periodicals,-2.81,0.55,1.65
Computer software and accessories,-2.69,0.94,2.59
Eggs,-2.24,0.09,2.69
Lubricants and fluids,-1.97,0.05,2.73
"Flowers, seeds, and potted plants",-1.8,0.34,3.08
Accessories and parts,-1.73,0.36,3.43
Other imputed commissions,-1.69,0.07,3.51
Personal computers/tablets and peripheral equipment,-1.44,0.5,4
Televisions,-1.39,0.26,4.27
Used autos,-1.38,0.27,4.53
Used light trucks,-1.34,1.14,5.68
Household linens,-1.28,0.3,5.97
"Other social assistance, not elsewere classified",-1.25,0.04,6.01
Outdoor equipment and supplies,-1.21,0.03,6.05
Telephone and related communication equipment,-1.2,0.17,6.22
"Calculators, typewriters, and other information processing equipment",-1.19,0,6.22
Motorcycles,-1.13,0.09,6.31
Window coverings,-1.09,0.18,6.49
Carpets and other floor coverings,-0.99,0.17,6.66
Luggage and similar personal items (part of 119),-0.97,0.24,6.9
Photo studios,-0.93,0.05,6.95
Shoes and other footwear,-0.82,0.58,7.54
Stationery and miscellaneous printed materials,-0.8,0.18,7.71
Postal and delivery services (68),-0.78,0.09,7.8
Electricity (27),-0.72,1.31,9.11
Major household appliances,-0.62,0.35,9.46
Fresh milk,-0.57,0.17,9.64
Beer,-0.53,0.48,10.11
Hotels and motels,-0.53,0.86,10.97
Other personal business services,-0.53,0.09,11.06
Musical instruments (part of 80),-0.47,0.05,11.11
Nonelectric cookware and tableware,-0.45,0.17,11.28
Pets and related products,-0.42,0.54,11.82
Poultry,-0.41,0.41,12.23
Other fuels,-0.4,0.01,12.24
Educational books (96),-0.36,0.08,12.32
Furniture,-0.36,1.2,13.52
Cellular telephone services,-0.35,0.84,14.35
Other medical products,-0.34,0.05,14.4
Therapeutic medical equipment,-0.34,0.26,14.66
Motor vehicle rental,-0.29,0.16,14.82
Jewelry,-0.28,0.49,15.31
Miscellaneous household products,-0.26,0.25,15.56
"Mineral waters, soft drinks, and vegetable juices",-0.25,0.6,16.17
"Audio discs, tapes, vinyl, and permanent digital downloads",-0.21,0.02,16.18
Fats and oils,-0.18,0.16,16.35
"Sporting equipment, supplies, guns, and ammunition (part of 80)",-0.16,0.74,17.08
Labor organization dues,-0.13,0.09,17.17
New foreign autos,-0.13,0.07,17.24
New domestic autos,-0.12,0.22,17.47
New light trucks,-0.11,1.89,19.36
Motor vehicle leasing,-0.09,0.29,19.65
Community food and housing / emergency / other relief services,-0.07,0.09,19.74
Standard clothing issued to military personnel,-0.06,0,19.75
Professional association dues,-0.06,0.07,19.81
Legal services,-0.06,0.73,20.55
Wine,-0.03,0.32,20.87
"Trust, fiduciary, and custody activities",-0.03,0.09,20.96
Pork,-0.02,0.25,21.21
Corrective eyeglasses and contact lenses,-0,0.3,21.51
Food produced and consumed on farms (6),0,0,21.51
Medical laboratories,0,0.26,21.78
Financial service charges and fees,0,0.76,22.53
Other direct commissions,0,0.02,22.55
Physician services (44),0,3.74,26.29
Net health insurance (112),0.01,1.47,27.76
Prescription drugs,0.01,3.15,30.91
Pension funds,0.02,0.33,31.24
Men's and boys' clothing (11),0.03,0.75,31.99
Other depository institutions and regulated investment companies,0.04,0.96,32.95
"Tools, hardware, and supplies",0.06,0.21,33.16
Tires,0.06,0.25,33.41
Net motor vehicle and other transportation insurance (116),0.07,0.54,33.95
"Live entertainment, excluding sports",0.08,0.23,34.18
Museums and libraries,0.08,0.06,34.24
Motion picture theaters,0.08,0.05,34.29
Fish and seafood,0.1,0.11,34.41
"Repair and rental of audio-visual, photographic, and information processing equipment",0.11,0.05,34.46
Individual and family services,0.12,0.5,34.96
Fruit (fresh),0.12,0.29,35.25
Small electric household appliances,0.13,0.07,35.32
Life insurance (110),0.14,0.58,35.9
Elementary and secondary school lunches,0.14,0.03,35.93
Maintenance and repair of recreational vehicles and sports equipment,0.14,0.04,35.97
Laundry and drycleaning services,0.16,0.07,36.04
Women's and girls' clothing (10),0.16,1.26,37.3
Food supplied to military,0.16,0.01,37.31
Food supplied to civilians,0.16,0.14,37.45
Higher education school lunches,0.16,0.1,37.55
Gasoline and other motor fuel,0.16,2.17,39.72
Alcohol in purchased meals,0.16,0.88,40.6
Casino gambling,0.17,0.72,41.32
Lotteries,0.17,0.19,41.51
Pari-mutuel net receipts,0.17,0.03,41.54
Religious organizations' services to households,0.18,0.05,41.58
Sugar and sweets,0.18,0.34,41.92
Proprietary hospitals,0.18,0.85,42.77
Government hospitals,0.18,1.45,44.22
Nonprofit hospitals' services to households,0.18,5.08,49.3
Proprietary and public higher education,0.18,0.62,49.91
Nonprofit private higher education services to households,0.18,0.47,50.38
Other purchased meals,0.2,5.27,55.65
Water supply and sewage maintenance,0.21,0.5,56.15
Home health care,0.22,0.89,57.04
Homes for the elderly,0.23,0.21,57.25
Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132),0.26,2.97,60.22
