Fechado / Dating,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
Fecha (mes) / Date (month),Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index,Indicador CF / CF Activity index
1983.07,3.8747,3.8933,3.9017,3.8933,3.9055,3.9186,3.9084,3.92,3.9153,3.9176,3.9084,3.9086,3.9097,3.8816,3.8519,3.8785,3.8756,3.8659,3.8894,3.882,3.8817,3.8652,3.8698,3.8766,3.8825,3.8819,3.8871,3.8848,3.8697,3.8778,3.85537569,3.85745914,3.86952602,3.9851,3.9855,3.9864,3.9799,3.97707852,3.97389295,3.96751213,3.96656009,3.96675643,3.96576286,3.9656302,3.96566838,3.97559205,3.97419777,3.97183675,3.97185084,3.97285111,3.97308802,3.8218987,3.96948435,3.93815103,3.93287854,3.93331671,3.9300493,3.83532152,3.83182606,3.70897539,3.62260137,3.67099354,3.78570203,3.82183058,3.82060415,3.83715624,3.84360768,3.87048437,3.86444603,3.8652194,3.86394424,3.82390889,3.82931143,3.86450626,3.87271323,3.9151584,3.92923282,3.92617253,3.94249419,3.93045402,3.93273136,3.94887402,3.9457692,3.95430801,3.94813429,3.94813429,3.94706655,3.93279033,3.93554687,3.94132569,3.93960913,3.93837787,3.93836633,3.951535691,3.94001145,3.91400673,3.9129831,3.91370721,3.93185569,3.91126691
1983.08,3.9053,3.955,3.9651,3.9509,3.9678,3.998,3.9869,3.985,3.9802,3.985,3.9699,3.9697,3.9661,4.0288,4.0138,4.0079,3.9787,4.0051,4.0413,4.0445,4.0467,4.0204,4.0322,4.0364,4.0502,4.0415,4.0475,4.0422,4.0289,4.0167,4.00372528,4.00435604,4.02422765,4.3089,4.3086,4.3036,4.3764,4.37282587,4.37664862,4.34619543,4.34531807,4.33806168,4.33371571,4.33807415,4.16395142,4.16179196,4.16553163,4.16466035,4.17005877,4.18138591,4.1983506,4.12020904,4.21128545,4.30417266,4.28851258,4.29000065,4.28294846,4.39713353,4.39333597,4.25306738,4.50801089,4.83024024,4.75936302,4.65592424,4.66471138,4.6717302,4.681838,4.70064186,4.70667596,4.73418841,4.74619408,4.83119931,4.7640455,4.60935278,4.56642962,4.48850558,4.44198663,4.44639449,4.39260797,4.45384458,4.44253828,4.38485302,4.38217759,4.39127744,4.39928355,4.39928355,4.3947536,4.42070133,4.41291859,4.39646619,4.39918538,4.39928823,4.40167934,4.373902048,4.39808,4.41241005,4.41397451,4.41636631,4.41035784,4.42517008
1983.09,3.3682,3.491,3.5199,3.4773,3.5191,3.5974,3.553,3.5982,3.5845,3.5939,3.5571,3.5587,3.5518,3.5363,3.4822,3.4958,3.401,3.487,3.5776,3.5902,3.5959,3.5193,3.5514,3.555,3.592,3.5694,3.5889,3.5787,3.5528,3.5531,3.51958569,3.51997382,3.56234163,3.7238,3.7283,3.7202,3.9488,3.95639904,3.97477002,3.95875178,3.95381553,3.94021402,3.93278258,3.94486806,3.50868406,3.48023705,3.49425782,3.49826652,3.53006687,3.53946408,3.57991173,3.85235382,3.61894478,3.95271004,3.94041259,3.94401961,3.9297664,4.14862901,4.14791569,3.9979511,4.10825264,4.76713132,4.72997207,4.71894838,4.82596393,4.81226019,4.81294355,4.51133105,4.49729583,4.54685961,4.57475773,4.64188337,4.54502447,4.45649236,4.38839473,4.31793074,4.29727083,4.30790499,4.3614199,4.33439546,4.31836995,4.34038422,4.32620265,4.29617,4.2962079,4.2962079,4.29634366,4.26542982,4.26113298,4.30647911,4.29637554,4.29835417,4.29630577,4.281141223,4.29724353,4.45784551,4.45937579,4.45942691,4.30321018,4.4669899
1983.1,2.8215,3.0053,3.048,2.9802,3.048,3.1807,3.0983,3.1404,3.1235,3.1357,3.0836,3.0897,3.0698,2.5741,2.5138,2.5249,2.3366,2.519,2.6293,2.6544,2.667,2.5355,2.5877,2.589,2.6334,2.5898,2.6195,2.624,2.6012,2.6076,2.58097936,2.57714776,2.63153751,3.5082,3.5155,3.5005,3.8771,3.89129703,3.91306922,3.8850194,3.87565728,3.85115526,3.84394809,3.85606708,3.0896457,3.00625441,3.03098232,3.03657985,3.07088584,3.10252249,3.17209697,3.50187377,3.25263,3.86931702,3.85049769,3.85642119,3.83949124,3.92804069,3.93359031,3.93433368,3.90165227,4.95719243,4.87851817,4.85771112,4.94310102,4.91556229,4.90666647,4.64890153,4.63997992,4.68060344,4.70677219,4.76516626,4.6886969,4.59473086,4.5237248,4.44993499,4.41678423,4.42705157,4.46616564,4.4431868,4.43305838,4.45076853,4.44026984,4.38092189,4.38451925,4.38451925,4.38421601,4.36805656,4.36414616,4.39525645,4.3860156,4.38835669,4.38733391,4.37061032,4.38314853,4.5369647,4.53854084,4.53750936,4.39334098,4.54238559
1983.11,2.7088,2.9392,2.9897,2.8988,2.9917,3.1679,3.0504,3.1024,3.0734,3.0836,3.0182,3.0278,3.0006,2.526,2.4246,2.4644,2.2135,2.4345,2.5803,2.6061,2.6215,2.4847,2.5487,2.5426,2.6098,2.5541,2.5941,2.6014,2.5598,2.5818,2.52808287,2.52442942,2.60082555,3.1256,3.1342,3.1194,3.6252,3.65015942,3.67766592,3.6550337,3.64074911,3.61202615,3.60785876,3.61968579,2.60571161,2.54874644,2.58237037,2.59124187,2.62495834,2.67004206,2.75901698,3.45415577,2.87138841,3.71272053,3.70468046,3.70669303,3.68808706,3.9954762,3.99439457,3.9496296,4.05932605,4.76428924,4.57943192,4.50797956,4.52771579,4.52640162,4.51788489,4.4154847,4.41790286,4.41432538,4.42695579,4.44871069,4.42870647,4.37518622,4.337688,4.29556327,4.28296822,4.28723619,4.29499543,4.28659936,4.28498627,4.28896729,4.28746342,4.2553733,4.25924909,4.25924909,4.25905593,4.26054537,4.25907732,4.26300837,4.25937097,4.26048719,4.26055901,4.253387113,4.25684102,4.3266314,4.32732035,4.32632308,4.26473171,4.32685159
1983.12,6.8247,7.2456,7.345,7.1868,7.3849,7.6761,7.5325,7.6634,7.5759,7.5859,7.4593,7.4719,7.456,7.1269,6.8615,7.0184,6.833,6.9027,7.2877,7.2729,7.2901,6.9194,7.0267,7.0597,7.2251,7.1574,7.2317,7.185,7.0075,6.9942,6.77957809,6.80564667,7.0108038,8.1267,8.1573,8.1832,8.4210,8.43355149,8.39553602,8.36484214,8.33397759,8.34781944,8.31914389,8.34335163,7.62612437,7.63939043,7.67424471,7.65163457,7.71119732,7.74510371,7.83182887,6.90828559,7.86376067,7.74566971,7.84938055,7.80917909,7.76734685,6.73815111,6.69946125,5.94109089,6.65469569,6.15996313,5.43137823,5.12430031,5.10770598,5.08316741,5.07634509,4.76079961,4.78222598,4.79669048,4.81583541,4.86937527,4.8131196,4.68591153,4.64088954,4.55287889,4.50991471,4.52574908,4.50920336,4.51880655,4.51234945,4.49748086,4.48786572,4.4856409,4.49314169,4.49314169,4.49056911,4.49973657,4.4941949,4.4985577,4.49587672,4.49765881,4.49694189,4.472068476,4.48979955,4.56013695,4.56112521,4.56220206,4.50335107,4.5692662
1984.01,9.5666,10.0814,10.202,10.0385,10.2565,10.5694,10.4533,10.5782,10.46,10.4589,10.3122,10.3107,10.3127,9.2479,9.0514,9.0751,8.985,9.0136,9.397,9.4228,9.4344,9.1144,9.2116,9.2324,9.4125,9.3549,9.4194,9.3281,9.1623,9.0609,8.90438183,8.92748271,9.13083556,10.7514,10.8029,10.8563,11.0064,11.0350676,10.9539699,11.0641414,11.0078748,11.0616184,11.02508,11.0284968,10.5702123,10.4472635,10.4960193,10.4746431,10.5414264,10.5831396,10.66706,9.5402431,10.63407,10.1318788,10.4236966,10.3315395,10.2689533,9.18595724,9.14363625,7.59352878,8.96721951,7.31234478,6.12909245,5.95960725,5.95607223,5.80809619,5.76513307,5.54007634,5.55399096,5.52811512,5.5515061,5.68338115,5.60015418,5.30960531,5.21246013,5.03487907,4.96140349,4.97651258,4.90815264,4.95669666,4.95148519,4.87980489,4.87532513,4.86414463,4.87844269,4.87844269,4.87406409,4.92184327,4.91114875,4.88667761,4.88965803,4.89233455,4.89224117,4.832768552,4.87980615,4.93425909,4.93695987,4.93956395,4.90542543,4.95319708
1984.02,9.5665,10.0072,10.1215,9.9822,10.165,10.4541,10.3447,10.4374,10.3092,10.2911,10.1582,10.1541,10.1487,9.6841,9.532,9.4891,9.3914,9.4332,9.7502,9.8007,9.8076,9.5376,9.6068,9.5864,9.7521,9.6943,9.751,9.6679,9.5338,9.4342,9.31964107,9.33195631,9.50191284,10.8893,10.9261,10.9526,11.2165,11.2596839,11.2104468,11.3721423,11.3182906,11.3699944,11.3405419,11.3577458,10.748719,10.5831617,10.6443006,10.6483835,10.725223,10.7613387,10.851755,9.82918371,10.8273735,10.6296658,10.9544236,10.857358,10.7857364,9.62922617,9.58457403,7.9907567,9.32786485,7.65067317,6.66910095,6.55927247,6.57963265,6.35354695,6.28753229,6.14696797,6.15624882,6.13209065,6.15213457,6.33796035,6.23431875,5.81416297,5.67591727,5.46707531,5.3586496,5.36904431,5.26688448,5.35445781,5.34980913,5.22750096,5.22730201,5.19629017,5.2156407,5.2156407,5.20899028,5.28852404,5.27436926,5.22623541,5.2336758,5.23694593,5.23985147,5.151378528,5.22032926,5.27436777,5.27841554,5.28147665,5.25852903,5.30027471
